GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archetype - firstservice,com.student.service.controller,StudentController,48,19,3,1,11,6,6,3,4,3
Archetype - firstservice,com.student.service.exceptionhandlers,StudentNotFoundException,4,0,0,0,2,0,1,0,1,0
Archetype - firstservice,com.student.service.exceptionhandlers,GlobalExceptionHandler,14,3,0,0,2,1,2,1,2,1
Archetype - firstservice,com.student.service.exceptionhandlers,NoRecordsFoundException,4,0,0,0,2,0,1,0,1,0
Archetype - firstservice,com.student.service.exceptionhandlers,InvalidRequestException,4,0,0,0,2,0,1,0,1,0
Archetype - firstservice,com.student.service.model,StudentContactDTO,475,0,94,0,12,0,74,0,27,0
Archetype - firstservice,com.student.service.model,StudentDetailsDTO,315,0,62,0,8,0,50,0,19,0
Archetype - firstservice,com.student.service.model,StudentDTO,275,0,54,0,7,0,44,0,17,0
Archetype - firstservice,com.student.service.util,Patcher,87,7,8,0,17,2,5,2,1,2
Archetype - firstservice,com.student.service.service,StudentServiceImpl,147,23,2,0,39,10,8,6,7,6
Archetype - firstservice,com.student.service,StudentAppService,6,3,0,0,2,1,1,1,1,1
Archetype - firstservice,com.student.service.entities,Student,263,52,62,0,0,8,35,15,4,15
Archetype - firstservice,com.student.service.entities,StudentContact,403,72,94,0,0,12,53,21,6,21
Archetype - firstservice,com.student.service.configuration,AppConfig,0,7,0,0,0,2,0,2,0,2
